B737   (Boeing 737-700) with 3CM031 engines,3CM031,CFM56-7B22,2,B737-C,
B737   (Boeing 737-700) with 3CM032 engines **,3CM032,CFM56-7B24,2,B737-D,
B737   (Boeing 737-700) with 3CM034 engines,3CM034,CFM56-7B27,2,B737-F,
B737   (Boeing 737-700) with 5GE085 engines,5GE085,CF6-80E1A3,2,B737-A,
B737   (Boeing 737-700) with 8CM051 engines,8CM051,CFM56-7B26,2,B737-E,
B738   (Boeing 737-800) with 3CM030 engines,3CM030,CFM56-7B20,2,B738-A,B737800
B738   (Boeing 737-800) with 3CM031 engines,3CM031,CFM56-7B22,2,B738-B,B737800
B738   (Boeing 737-800) with 3CM032 engines,3CM032,CFM56-7B24,2,B738-C,B737800
B738   (Boeing 737-800) with 3CM034 engines,3CM034,CFM56-7B27,2,B738-E,B737800
B738   (Boeing 737-800) with 8CM051 engines **,8CM051,CFM56-7B26,2,B738-D,B737800
B738   (Boeing 737-800) with 11CM078 engines,11CM078,CFM56-7B27E/B1,2,B738-F,B737800
B739   (Boeing 737-900),8CM051,CFM56-7B26,2,B739-A,B737900
B741   (Boeing 747-100) with 1PW023 engines,1PW023,JT9D-7F,4,B741-C,
B741   (Boeing 747-100) with 1RR006 engines,1RR006,RB211-524C2,4,B741-D,
B741   (Boeing 747-100) with 8PW085 engines **,8PW085,JT8D-7 series,4,B741-A,
B741   (Boeing 747-100) with 8PW087 engines,8PW087,JT9D-7A,4,B741-B,
B742   (Boeing 747-200) with 1PW023 engines,1PW023,JT9D-7F,4,B742-D,
B742   (Boeing 747-200) with 1PW024 engines,1PW024,JT9D-7J,4,B742-E,
B742   (Boeing 747-200) with 1PW025 engines,1PW025,JT9D-7Q,4,B742-F,
B742   (Boeing 747-200) with 1PW029 engines,1PW029,JT9D-7R4G2,4,B742-G,
B742   (Boeing 747-200) with 1PW034 engines,1PW034,JT9D-70A,4,B742-B,
B742   (Boeing 747-200) with 1RR006 engines,1RR006,RB211-524C2,4,B742-H,
B742   (Boeing 747-200) with 1RR008 engines,1RR008,RB211-524D4,4,B742-I,
B742   (Boeing 747-200) with 3GE077 engines **,3GE077,CF6-50E2,4,B742-A,
B742   (Boeing 747-200) with 8PW087 engines,8PW087,JT9D-7A,4,B742-C,
B743   (Boeing 747-300) with 1PW029 engines,1PW029,JT9D-7R4G2,4,B743-D,B747
B743   (Boeing 747-300) with 1RR008 engines,1RR008,RB211-524D4,4,B743-E,B747
B743   (Boeing 747-300) with 2GE041 engines,2GE041,CF6-80C2B1,4,B743-C,B747
B743   (Boeing 747-300) with 3GE077 engines **,3GE077,CF6-50E2,4,B743-B,B747
B743   (Boeing 747-300) with 3GE078 engines,3GE078,CF6-50C2B,4,B743-A,B747
B744   (Boeing 747-400 - international winglets) with 1PW042 engines,1PW042,PW4056,4,B744-D,B744
B744   (Boeing 747-400 - international winglets) with 1RR010 engines,1RR010,RB211-524G,4,B744-F,B744
B744   (Boeing 747-400 - international winglets) with 1RR011 engines,1RR011,RB211-524H,4,B744-H,B744
B744   (Boeing 747-400 - international winglets) with 2GE041 engines,2GE041,CF6-80C2B1,4,B744-A,B744
B744   (Boeing 747-400 - international winglets) with 2GE045 engines **,2GE045,CF6-80C2B1F,4,B744-B,B744
B744   (Boeing 747-400 - international winglets) with 3GE057 engines,3GE057,CF6-80C2B5F,4,B744-C,B744
B744   (Boeing 747-400 - international winglets) with 4RR036 engines,4RR036,RB211-524G-T,4,B744-G,B744
B744   (Boeing 747-400 - international winglets) with 12PW102 engines,12PW102,PW4062,4,B744-E,B744
B748   (Boeing 747-8),11GE139,GEnx-2B67,4,B748-A,
B74D   (Boeing 747-400 - domestic no winglets),2GE045,CF6-80C2B1F,4,B74D-A,
B74R   (Boeing 747SR) with 3GE068 engines **,3GE068,CF6-45A2,4,B74R-A,
B74R   (Boeing 747SR) with 8PW087 engines,8PW087,JT9D-7A,4,B74R-B,
B74S   (Boeing 747SP) with 1PW023 engines,1PW023,JT9D-7F,4,B74S-D,
B74S   (Boeing 747SP) with 1PW024 engines,1PW024,JT9D-7J,4,B74S-E,
B74S   (Boeing 747SP) with 1RR006 engines,1RR006,RB211-524C2,4,B74S-F,
B74S   (Boeing 747SP) with 1RR008 engines,1RR008,RB211-524D4,4,B74S-G,
B74S   (Boeing 747SP) with 8PW085 engines **,8PW085,JT8D-7 series,4,B74S-A,
B74S   (Boeing 747SP) with 8PW086 engines,8PW086,JT9D-7,4,B74S-B,
B74S   (Boeing 747SP) with 8PW087 engines,8PW087,JT9D-7A,4,B74S-C,
