5PW075,2.884,0.809,0.25,2.363
5PW076,4.138,1.075,0.321,3.245
5RR038,1.85,0.52,0.18,1.5
5RR039,2.07,0.55,0.19,1.64
5RR040,4.03,1.05,0.33,3.19
6AL007,0.3826,0.113,0.0461,0.318
6AL010,0.3805,0.1125,0.0459,0.3163
6AL013,0.3589,0.1077,0.0449,0.2999
6AL016,0.3806,0.1126,0.046,0.3163
6AL019,0.3583,0.1076,0.0448,0.2995
6AL020,0.4122,0.12,0.0475,0.3425
6AL024,0.3222,0.0991,0.0418,0.2689
6BR010,0.747,0.215,0.083,0.617
6CM044,1.132,0.312,0.104,0.935
6GE087,2.781,0.763,0.267,2.28
6GE088,2.806,0.768,0.269,2.301
6GE089,3.115,0.832,0.282,2.55
6GE090,3.348,0.878,0.291,2.733
6GE096,0.608,0.1702,0.0703,0.479
6RR042,0.741,0.241,0.105,0.612
7CM045,1.252,0.342,0.109,1.035
7CM046,1.316,0.355,0.112,1.085
7CM047,1.395,0.37,0.115,1.143
7CM048,0.875,0.262,0.094,0.729
7CM049,0.954,0.28,0.098,0.794
7CM050,0.961,0.296,0.105,0.799
7GE097,4.32,1.08,0.37,3.47
7GE098,4.53,1.11,0.38,3.58
7GE099,4.69,1.13,0.38,3.67
7PW077,0.3171,0.0974,0.0422,0.2641
7PW078,0.3171,0.0974,0.0422,0.2641
7PW079,0.3604,0.1235,0.0445,0.2991
7PW081,2.668,0.766,0.24,2.2
7PW082,2.884,0.809,0.25,2.363
7PW083,1.047,0.304,0.109,0.86
7PW084,1.169,0.325,0.114,0.939
8AL025,0.301,0.0943,0.0377,0.2527
8CM051,1.221,0.338,0.113,0.999
8CM052,1.318,0.347,0.109,1.063
8CM053,1.385,0.358,0.111,1.107
8CM054,1.462,0.369,0.113,1.153
8CM055,1.142,0.316,0.102,0.939
8CM056,0.894,0.264,0.092,0.743
8CM057,0.965,0.279,0.095,0.8
8CM058,1.142,0.316,0.102,0.939
8CM059,0.875,0.26,0.091,0.727
8CM060,0.956,0.278,0.095,0.793
8CM061,0.842,0.256,0.092,0.702
8CM062,0.896,0.268,0.094,0.746
8CM063,1.004,0.291,0.099,0.832
8CM064,1.086,0.308,0.103,0.895
8CM065,1.213,0.331,0.108,0.986
8CM066,1.293,0.343,0.11,1.031
8GE100,3.514,0.908,0.296,2.848
8GE101,2.583,0.685,0.205,2.106
8GE102,0.721,0.193,0.067,0.586
8GE103,0.721,0.193,0.067,0.586
8GE104,0.691,0.188,0.066,0.563
8GE105,0.691,0.188,0.066,0.563
8GE106,0.691,0.188,0.066,0.563
8GE107,0.665,0.183,0.065,0.543
8GE108,0.652,0.18,0.064,0.533
8GE109,0.652,0.18,0.064,0.533
8GE110,0.648,0.179,0.064,0.53
8GE111,0.644,0.179,0.064,0.527
8GE112,0.606,0.171,0.063,0.497
8GE113,0.591,0.168,0.062,0.485
8GE114,0.769,0.222,0.084,0.64
8IA009,1.053,0.319,0.128,0.88
8IA010,1.053,0.319,0.128,0.88
8PW085,0.9892,0.2861,0.1291,0.8113
8PW086,2.083,0.609,0.21,1.764
8PW087,2.099,0.619,0.211,1.789
8PW088,2.099,0.619,0.211,1.789
8PW089,3.411,0.875,0.242,2.689
8RR043,0.889,0.279,0.119,0.726
8RR044,2.11,0.6,0.23,1.73
8RR045,2.24,0.62,0.23,1.83
8RR046,2.6,0.7,0.3,2.2
9EA001,2.637,0.711,0.234,2.169
9GE124,2.796,0.738,0.258,2.281
9GE125,2.83,0.745,0.26,2.309
9GE126,3.131,0.804,0.271,2.553
9GE127,3.38,0.852,0.28,2.735
9GE128,3.513,0.876,0.284,2.831
9PW092,2.721,0.775,0.243,2.239
9PW093,2.937,0.818,0.252,2.398
9PW094,2.937,0.818,0.252,2.398
9PW095,3.019,0.833,0.255,2.45
9RR047,2.69,0.75,0.27,2.23
FOCA-1,0.0116,0.0047,0.001,0.0077
FOCA-2,0.0136,0.0062,0.0014,0.0106
FOCA-3,0.0167,0.0074,0.0025,0.0148
FOCA-4,0.0182,0.0098,0.0038,0.018
FOCA-5,0.0057,0.0032,0.001,0.0057
FOCA-6,0.01,0.0048,0.0013,0.008
FOCA-7,0.012,0.0054,0.0016,0.0102
FOCA-8,0.0166,0.0066,0.0016,0.014
FOCA-9,0.2243,0.022,0.001,0.0449
FOCA-10,0.0112,0.0059,0.0012,0.0084
FOCA-11,0.0168,0.0077,0.0014,0.0125
FOCA-12,0.0327,0.0125,0.0032,0.0258
FOCA-13,0.004,0.0016,0.0006,0.0036
FOCA-14,0.0038,0.0018,0.0012,0.0031
FOCA-15,0.00534,0.0023,0.0005,0.00412
FOCA-16,0.0072,0.0029,0.0018,0.0056
FOCA-17,0.0064,0.0025,0.0003,0.0051
FOCA-18,0.0327,0.0125,0.0032,0.0258
FOCA-19,0.0168,0.0077,0.0014,0.0125
FOCA-20,0.027,0.014,0.0061,0.023
