MAX_DELAY, STEP_DOMAIN, START_UPPER, STEP_UPPER, START_LOWER, STEP_LOWER, day,dataInstance,checkAircraftBreakdownPeriod,checkAircraftCapacity,checkAircraftCreation,checkAircraftSwap,checkAirportCapacity,checkCancellationofCreatedRotation,checkFixedFlights,checkFlight,checkItinerary,checkPassengerReac,checkRotation,costs, deltaTime, totalDelay, totalCancel, newFlight, taxiFlight
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2155,A05_6088570,0,0,0,0,0,0,0,0,17828,18986,0,17203890.35,1234.797695,91980,103,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2155,XA04_DATA,0,0,0,0,0,0,0,0,17903,12921,46,20263984.1,1258.459612,102000,102,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2155,A10_6088590,0,0,0,0,0,0,0,0,17137,14344,0,20249407.15,1260.988412,91980,103,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2156,XA02_DATA,0,0,0,0,0,0,0,0,18182,16830,46,17213047.9,1265.770564,102000,102,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2156,B_05,0,0,0,0,0,0,0,0,11586,34397,0,96433420.4,1268.27836,39780,367,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2156,XB02_DATA,0,0,0,0,0,0,0,0,11161,34487,45,96444065.9,1287.377242,34440,369,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2156,B_07,0,0,0,0,0,0,0,0,18021,11664,117,44826839.3,1293.613554,29640,209,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2156,B_02,0,0,0,0,0,0,0,0,21508,12107,117,36990553.7,1303.615962,29640,209,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2156,B_10,0,0,0,0,0,0,0,0,11178,34805,0,119849918.4,1318.582494,39780,367,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210321_2157,XB04_DATA,0,0,0,0,0,0,0,0,12538,36326,45,120861539.5,1321.1902,42720,395,-1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0007,A02_6088570,0,0,0,0,0,0,0,0,5463,0,0,45984.1,27.10299063,1200,0,1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0007,A07_6088590,0,0,0,0,0,0,0,0,4882,0,0,57620.75,28.93251991,1200,0,1,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0008,A01_6088570,0,0,0,0,0,0,0,0,5281,0,0,31352.85,47.19333386,2580,0,0,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0008,A06_6088590,0,0,0,0,0,0,0,0,3877,0,0,35965.75,50.57050323,2580,0,0,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0008,A03_6088570,0,0,0,0,0,0,0,0,5223,88,0,546369.2,61.82273316,3300,3,3,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0008,A08_6088590,0,0,0,0,0,0,0,0,5650,90,0,778447.45,63.18986154,3300,3,3,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0008,XA01_DATA,0,0,0,0,0,0,0,0,5223,178,0,1046238.95,64.40195894,3300,8,3,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0008,XA03_DATA,0,0,0,0,0,0,0,0,5650,403,0,1499075.15,67.54451966,3300,8,3,-1
901,60,3.00E+12,1.00E+11,40000,10000,20210322_0010,A04_6088570,0,0,0,0,0,0,0,0,10963,354,0,449950.65,176.7101421,24180,1,0,-1
